,Player,Team,POS,REC,REC_YD,REC_TD
1,Christian McCaffrey,CAR,RB,93.7,750.3,7.3
2,Dalvin Cook,MIN,RB,55,470.4,3.6
3,Derrick Henry,TEN,RB,13.2,193.4,1.2
4,Alvin Kamara,NO,RB,86.3,630.4,5.6
5,Jonathan Taylor,IND,RB,34.1,421.8,3.7
